InvoiceID,invoice_date,customer_id,customer_name,country,product_id,product_name,category,quantity,unit_price,total,payment_method,return_status,ReviewScore,promo,delivery_days,shipping_cost
INV1024,5/11/2023 9:13,CUST2162,Dorothy Boyd,U.S.,P1305,Range What,Beauty,1,268.71,268.71,Credit Card,Not Returned,2,No,10,10.60
INV1025,1/12/2023 23:50,CUST2243,Kimberly Choi,France,P1226,Sound Population,Books,4,404.25,1617.00,Bitcoin,Not Returned,5,No,8,16.68
INV1026,8/11/2024 23:08,CUST1093,Christina Walters,USA,P1112,Television East,Automotive,4,53.46,213.84,Bank Transfer,Not Returned,1,No,4,8.20
INV1027,14/03/2025 3:42,CUST1015,Brian Ramirez,New Zealand,P1254,Garden Trial,Clothing,4,73.50,294.00,PayPal,Not Returned,5,No,1,9.93
INV1028,8/06/2023 1:33,CUST1086,Shirley Suarez,United States,P1223,Start Cup,Toys,1,260.15,260.15,Bitcoin,Not Returned,5,No,4,2.88
INV1029,21/05/2024 8:06,CUST1042,Sherry Decker,India,P1494,Impact Sell,Automotive,3,83.20,249.60,Bank Transfer,Not Returned,,Yes,6,14.72
INV1030,1/01/2025 0:51,CUST2073,David Stokes,Australia,P1040,Garden Structure,Books,4,457.00,1828.00,PayPal,Not Returned,5,Yes,8,12.75
INV1031,13/06/2024 2:15,CUST1715,David Davenport,U.S.,P1179,All Yet,Books,2,432.98,865.96,PayPal,Not Returned,5,Yes,2,23.78
INV1032,23/01/2025 10:01,CUST2286,Carrie Valdez,India,P1252,Trial Practice,Books,4,139.50,558.00,Bank Transfer,Not Returned,5,No,2,10.99
INV1033,9/07/2023 15:30,CUST1960,Erica Johnson,India,P1226,Sound Population,Books,3,404.25,1212.75,Credit Card,Not Returned,3,Yes,,9.22
INV1034,21/03/2024 21:08,CUST1587,Jeremy Scott,France,P1039,Bank Several,Sports,1,137.53,137.53,Credit Card,Not Returned,4,Yes,5,15.13
INV1035,20/11/2023 20:07,CUST2026,Lee Steele,Australia,P1077,Stop Indeed,Clothing,1,47.40,47.40,Credit Card,Not Returned,1,Yes,3,17.69
INV1036,8/03/2024 16:14,CUST1899,Christie Mccullough,Australia,P1268,Near Boy,Books,5,246.67,1233.35,Bank Transfer,Not Returned,2,Yes,12,15.77
INV1037,4/11/2024 15:36,CUST1685,Mr. Michael Scott PhD,New Zealand,P1033,Enjoy Early,Books,3,85.88,257.64,PayPal,Not Returned,4,Yes,14,8.75
INV1038,17/04/2024 16:58,CUST2343,Kyle Black,United States,P1357,Participant This,Electronics,4,289.16,1156.64,Bitcoin,Not Returned,2,Yes,10,17.57
INV1039,4/11/2024 16:58,CUST2403,Laura Sweeney,New Zealand,P1467,Almost Expert,Toys,5,172.59,862.95,Credit Card,Not Returned,1,Yes,5,23.69
INV1040,15/07/2023 1:26,CUST1995,Brittany Ward,U.S.,P1098,Window Parent,Food,2,290.22,580.44,Credit Card,Not Returned,4,Yes,10,8.42
INV1041,23/02/2025 11:30,CUST2265,Casey Obrien,U.S.,P1067,Other Citizen,Toys,5,421.63,2108.15,PayPal,Not Returned,,No,5,16.91
INV1042,9/05/2024 2:37,CUST1486,Monica Miller,Germany,P1496,Business Above,Food,4,153.08,612.32,PayPal,Not Returned,3,Yes,5,16.96
INV1043,25/04/2024 8:49,CUST2168,Timothy Monroe,New Zealand,P1225,Crime Agree,Books,4,338.03,1352.12,Bitcoin,Not Returned,1,Yes,13,6.25
INV1044,8/07/2023 14:58,CUST2313,Samantha Prince,United States,P1246,Expect Itself,Garden,3,227.78,683.34,Credit Card,Not Returned,1,No,7,22.63
INV1045,20/08/2024 19:11,CUST1301,Heather Fields,Canada,P1425,Build Rich,Electronics,4,105.76,423.04,Bank Transfer,Not Returned,3,Yes,6,12.55
INV1046,2/06/2024 11:42,CUST1482,Evelyn Martinez,USA,P1197,Partner Number,Toys,1,23.94,23.94,Credit Card,Not Returned,5,No,12,3.65
INV1047,31/10/2023 13:57,CUST1078,Steve Sanchez,U.S.,P1146,Across Audience,Home,4,466.96,1867.84,Bitcoin,Not Returned,,Yes,,6.40
INV1048,16/04/2025 3:17,CUST1306,Edward Burgess,United States,P1280,Usually Fly,Beauty,5,381.81,1909.05,PayPal,Not Returned,,Yes,6,15.97
INV1049,23/12/2024 14:20,CUST2275,Jonathan Bates,Germany,P1234,State Me,Electronics,1,446.87,446.87,Credit Card,Not Returned,4,Yes,11,3.59
INV1050,1/07/2024 4:42,CUST1879,Richard Adams,India,P1000,Garden Through,Clothing,5,17.38,86.90,Credit Card,Not Returned,2,Yes,8,13.60
INV1051,26/04/2024 21:02,CUST2039,Corey Whitaker,Germany,P1283,Compare Knowledge,Clothing,1,237.80,237.80,Bitcoin,Not Returned,2,Yes,5,19.71
INV1052,16/01/2024 11:11,CUST1706,Adam Jackson,Australia,P1123,Gun Rule,Toys,1,112.76,112.76,Bank Transfer,Not Returned,5,Yes,13,19.48
INV1053,24/10/2024 9:17,CUST1951,Sarah Thompson,U.S.,P1356,Alone Region,Garden,4,55.78,223.12,Bitcoin,Returned,1,Yes,12,4.99
INV1054,17/04/2024 5:17,CUST1085,Daniel Baker,France,P1161,Cultural Decide,Electronics,3,50.69,152.07,Credit Card,Not Returned,1,No,5,21.55
INV1055,23/07/2023 21:49,CUST1097,Deborah Figueroa,Australia,P1443,Job Without,Toys,3,387.47,1162.41,Bitcoin,Not Returned,3,No,2,12.41
INV1056,15/06/2024 0:22,CUST2018,Jimmy Marks,United States,P1188,Process Rich,Garden,5,178.08,890.40,Credit Card,Not Returned,1,No,5,2.56
INV1057,30/12/2023 1:23,CUST1671,Kristin Mendoza,India,P1338,Surface Accept,Automotive,3,267.81,803.43,PayPal,Not Returned,2,No,,18.17
INV1058,25/06/2023 19:45,CUST1722,Willie Henry,USA,P1314,Short Strong,Toys,4,309.88,1239.52,Bitcoin,Not Returned,5,Yes,,3.57
INV1059,18/02/2024 14:11,CUST2244,Michael Sloan,United States,P1347,Us Officer,Food,4,488.42,1953.68,Bank Transfer,Not Returned,4,Yes,9,3.84
INV1060,8/06/2023 18:42,CUST1921,David Kelly,United States,P1485,Tv Need,Home,3,89.14,267.42,Bank Transfer,Not Returned,5,No,3,24.01
INV1061,16/03/2024 19:04,CUST1053,Mark Perez,New Zealand,P1376,Son Late,Books,2,314.63,629.26,Credit Card,Not Returned,2,No,3,24.91
INV1062,25/03/2024 22:23,CUST1584,Jamie Baird,U.S.,P1355,Check Too,Home,4,320.75,1283.00,Bitcoin,Not Returned,5,No,1,20.26
INV1063,11/10/2024 3:03,CUST1654,Robert Dennis,France,P1341,Director Per,Garden,3,139.10,417.30,Bank Transfer,Not Returned,5,Yes,12,9.04
INV1064,19/07/2024 23:11,CUST1459,Ruben Dunn,Canada,P1062,Protect Star,Sports,2,83.29,166.58,Credit Card,Not Returned,4,No,7,20.09
INV1065,25/02/2025 23:25,CUST2129,James Rivers,United States,P1066,From Notice,Clothing,5,435.91,2179.55,Bitcoin,Not Returned,3,Yes,2,24.31
INV1066,23/03/2025 10:21,CUST2315,Andrew Moreno,France,P1037,Outside Whose,Electronics,4,118.38,473.52,PayPal,Not Returned,1,No,8,22.77
INV1067,10/07/2023 6:49,CUST1113,Crystal Johnson,UK,P1425,Build Rich,Electronics,1,105.76,105.76,Bank Transfer,Not Returned,1,No,8,22.37
INV1068,1/04/2025 20:54,CUST1161,Jennifer Adkins,France,P1128,Sister Note,Automotive,2,82.93,165.86,Bank Transfer,Not Returned,,Yes,9,23.54
INV1069,29/08/2023 0:25,CUST1315,Jordan Chambers,India,P1087,Sound Central,Beauty,5,221.86,1109.30,Credit Card,Not Returned,,Yes,,23.71
INV1070,2/04/2024 13:29,CUST2181,Christina Weber,New Zealand,P1135,Say Relate,Clothing,2,212.52,425.04,Credit Card,Not Returned,5,No,10,23.92
INV1071,5/11/2024 16:24,CUST1989,Karen Johnson,United States,P1125,Focus Listen,Automotive,4,35.17,140.68,PayPal,Not Returned,3,No,3,8.50
INV1072,2/10/2023 5:03,CUST1294,Ryan Gonzalez,Australia,P1160,Night Behavior,Toys,3,453.14,1359.42,PayPal,Not Returned,4,Yes,5,6.04
INV1073,10/02/2025 12:37,CUST1250,Isaiah Avila,United States,P1136,Affect However,Food,4,284.79,1139.16,Bitcoin,Not Returned,3,Yes,13,22.56
INV1074,6/10/2023 20:46,CUST1670,Chelsea Gill,Canada,P1478,Best Life,Clothing,5,224.62,1123.10,Bitcoin,Not Returned,3,No,14,7.71
INV1075,5/06/2024 11:42,CUST1047,Shane Henderson,Canada,P1046,Beyond Physical,Automotive,4,271.79,1087.16,Bank Transfer,Returned,2,No,9,22.06
INV1076,8/06/2024 6:17,CUST2339,Miss Kelly Dawson,USA,P1344,Letter Base,Automotive,4,475.68,1902.72,Bitcoin,Not Returned,2,No,12,10.08
INV1077,5/08/2024 5:22,CUST1092,Denise Jacobs,Canada,P1205,Speech Check,Books,1,185.29,185.29,Bank Transfer,Not Returned,4,No,12,13.75
INV1078,29/07/2024 20:27,CUST2276,Renee Mendez,United States,P1348,Fall President,Automotive,5,300.41,1502.05,Bank Transfer,Not Returned,2,Yes,3,15.06
INV1079,8/08/2024 6:22,CUST1822,Jose Ramirez,U.S.,P1256,Employee Late,Home,1,354.68,354.68,Bitcoin,Not Returned,1,Yes,5,23.28
INV1080,2/09/2023 22:05,CUST1652,David Robinson,UK,P1083,Everybody Bed,Sports,4,482.36,1929.44,Bitcoin,Not Returned,2,No,13,0.42
INV1081,13/03/2025 0:50,CUST1678,Jose Crawford,India,P1344,Letter Base,Automotive,1,475.68,475.68,Credit Card,Not Returned,2,Yes,11,1.28
INV1082,10/05/2024 16:25,CUST1983,Sean Curtis,India,P1087,Sound Central,Beauty,5,221.86,1109.30,Bitcoin,Not Returned,5,Yes,,14.31
INV1083,31/08/2024 9:55,CUST2434,Phillip Kent,Australia,P1056,Wonder Trip,Garden,2,266.91,533.82,Bitcoin,Not Returned,3,No,13,21.21
INV1084,11/12/2024 15:25,CUST2489,Deborah Williams,France,P1031,Evidence Hit,Clothing,2,306.52,613.04,Bitcoin,Not Returned,2,Yes,7,22.80
INV1085,27/10/2024 21:27,CUST1701,James Watson,UK,P1279,Less Information,Books,3,230.08,690.24,PayPal,Not Returned,2,No,3,23.54
INV1086,13/01/2024 6:48,CUST1609,Casey Chase,Germany,P1394,Politics Thus,Garden,3,66.56,199.68,Bank Transfer,Not Returned,5,No,4,3.05
INV1087,4/07/2024 3:07,CUST2385,Christopher Anderson,New Zealand,P1278,Customer Film,Toys,4,192.66,770.64,PayPal,Not Returned,2,Yes,5,23.10
INV1088,16/06/2024 18:07,CUST2343,Kyle Black,France,P1131,Social Evening,Clothing,4,339.23,1356.92,Bank Transfer,Not Returned,4,Yes,3,1.27
INV1089,28/01/2024 1:15,CUST2087,Philip Jackson,New Zealand,P1115,Sometimes Should,Books,2,87.32,174.64,Bitcoin,Not Returned,1,Yes,8,24.45
INV1090,24/01/2025 13:20,CUST1323,Brandy Chavez,Canada,P1208,Coach Friend,Clothing,4,361.28,1445.12,Bank Transfer,Not Returned,5,Yes,14,19.22
INV1091,5/11/2024 10:04,CUST2335,Vincent Smith,USA,P1293,Pay Writer,Toys,2,384.61,769.22,PayPal,Not Returned,1,Yes,13,9.92
INV1092,30/11/2024 5:07,CUST2014,William Graham,USA,P1095,Away Exactly,Clothing,3,259.51,778.53,Credit Card,Not Returned,2,No,7,24.73
INV1093,15/09/2024 8:23,CUST2112,Nathan Wilson,U.S.,P1268,Near Boy,Books,4,246.67,986.68,Bitcoin,Not Returned,,No,2,18.28
INV1094,24/06/2023 15:39,CUST2327,Nicole Gutierrez,Australia,P1131,Social Evening,Clothing,2,339.23,678.46,PayPal,Not Returned,5,No,13,10.69
INV1095,8/12/2024 7:08,CUST1671,Kristin Mendoza,U.S.,P1044,Scientist Part,Garden,4,75.72,302.88,Bitcoin,Not Returned,1,Yes,4,9.59
INV1096,18/07/2023 15:29,CUST1914,Dale Chan,UK,P1385,Determine Population,Books,3,462.34,1387.02,Credit Card,Not Returned,2,Yes,,16.69
INV1097,13/01/2025 7:47,CUST1953,Alyssa Haynes,France,P1157,Bit Well,Food,2,109.26,218.52,Bank Transfer,Not Returned,5,No,5,15.37
INV1098,19/12/2023 19:05,CUST1448,Ryan Rosales,Germany,P1490,Writer Name,Garden,2,320.76,641.52,Bank Transfer,Not Returned,4,No,12,13.44
INV1099,11/12/2024 10:37,CUST2360,Megan Hall MD,India,P1422,First Move,Electronics,2,97.85,195.70,Credit Card,Not Returned,4,No,1,22.93
INV1100,17/08/2024 4:46,CUST1229,Lori Guerrero,Canada,P1031,Evidence Hit,Clothing,5,306.52,1532.60,PayPal,Not Returned,4,No,1,17.01
INV1101,26/02/2024 18:20,CUST2468,Mr. Edward Terry,France,P1298,Ago Country,Toys,4,290.02,1160.08,Credit Card,Not Returned,4,No,7,14.10
INV1102,9/11/2024 20:46,CUST2144,Michael Cruz,New Zealand,P1236,Throughout Point,Books,3,92.06,276.18,Credit Card,Not Returned,4,Yes,,10.59
INV1103,28/06/2024 4:37,CUST2434,Phillip Kent,United States,P1032,Visit Pass,Home,5,269.40,1347.00,Bitcoin,Returned,3,Yes,12,3.39
INV1104,20/07/2023 2:44,CUST2313,Samantha Prince,New Zealand,P1373,Future Home,Toys,4,286.47,1145.88,Bitcoin,Not Returned,5,Yes,10,21.51
INV1105,11/02/2025 19:25,CUST1242,Kevin Walters,U.S.,P1091,Owner Deal,Automotive,5,118.91,594.55,PayPal,Not Returned,,No,7,16.84
INV1106,31/03/2024 7:17,CUST2115,Michael Phillips,Canada,P1217,Its Floor,Books,5,217.79,1088.95,Bank Transfer,Not Returned,1,Yes,,20.24
INV1107,21/04/2024 11:01,CUST1858,Steven Blevins,United States,P1314,Short Strong,Toys,1,309.88,309.88,Credit Card,Not Returned,5,Yes,3,18.51
INV1108,6/08/2024 7:33,CUST1823,Jackie Clements,USA,P1224,Both Catch,Food,2,170.92,341.84,Bank Transfer,Not Returned,5,No,9,14.95
INV1109,25/09/2024 10:00,CUST2377,Jennifer Parks,U.S.,P1419,Road Father,Sports,3,433.13,1299.39,PayPal,Not Returned,2,Yes,8,23.71
INV1110,25/06/2023 8:29,CUST1358,Christian Leblanc,USA,P1320,Government Others,Garden,4,125.71,502.84,Bitcoin,Not Returned,2,No,6,3.73
INV1111,4/01/2024 15:16,CUST1770,Jesse Clark,Canada,P1094,Employee Eight,Electronics,5,430.52,2152.60,PayPal,Not Returned,,No,6,13.93
INV1112,1/05/2025 1:16,CUST1274,Joyce Bowen,Australia,P1198,Return Such,Food,2,220.11,440.22,Bitcoin,Not Returned,,Yes,,6.71
INV1113,13/11/2024 14:52,CUST2379,Michael Smith,United States,P1309,Benefit Build,Clothing,5,219.59,1097.95,PayPal,Not Returned,2,No,14,0.38
INV1114,30/06/2024 13:32,CUST1389,Scott Williams,Germany,P1492,Describe Shake,Electronics,1,449.96,449.96,PayPal,Not Returned,1,No,12,7.08
INV1115,4/05/2025 18:04,CUST1954,Kristy Hart,Australia,P1273,Note Individual,Food,3,269.39,808.17,Bitcoin,Not Returned,5,No,12,20.99
INV1116,15/01/2024 18:14,CUST1416,Gwendolyn Klein,India,P1189,Dream Key,Books,3,115.35,346.05,PayPal,Returned,4,No,4,3.81
INV1117,16/06/2023 10:00,CUST1675,Larry Harris,Canada,P1117,Budget Sister,Sports,4,451.71,1806.84,Bank Transfer,Not Returned,3,No,7,4.21
INV1118,14/02/2024 9:13,CUST1721,Raymond Johnson,Germany,P1086,Save Case,Sports,2,497.60,995.20,Credit Card,Not Returned,,Yes,12,0.16
INV1119,27/04/2025 14:55,CUST1281,Tammie Bright,U.S.,P1431,Give These,Electronics,2,278.36,556.72,Bitcoin,Not Returned,4,No,10,12.20
INV1120,11/12/2023 12:37,CUST1013,Michele Williams,USA,P1272,Else Natural,Garden,5,460.17,2300.85,Bank Transfer,Not Returned,2,Yes,8,20.33
INV1121,4/10/2024 19:13,CUST2380,Kevin Nguyen,United States,P1220,Wall Public,Garden,2,339.44,678.88,PayPal,Not Returned,4,No,13,8.86
INV1122,21/10/2024 1:43,CUST1812,Douglas Ryan,Germany,P1040,Garden Structure,Books,3,457.00,1371.00,PayPal,Not Returned,,Yes,1,10.13
INV1123,14/08/2024 20:00,CUST1772,Eric Patrick,USA,P1282,Feeling Main,Sports,4,129.87,519.48,Credit Card,Not Returned,3,No,9,24.43
INV1124,22/10/2024 22:58,CUST1195,Allen Rosales,Canada,P1458,Produce Nor,Sports,5,196.11,980.55,Bitcoin,Not Returned,,No,14,13.58
INV1125,13/07/2024 21:37,CUST2347,Kelly Mclaughlin,Australia,P1016,Central Voice,Beauty,2,303.84,607.68,PayPal,Not Returned,5,No,14,1.92
INV1126,7/07/2023 8:06,CUST1332,Jordan Bates,New Zealand,P1288,Major Themselves,Books,2,103.68,207.36,Bank Transfer,Not Returned,5,Yes,12,24.71
INV1127,4/08/2023 6:21,CUST2483,Kelly Miles,Australia,P1040,Garden Structure,Books,5,457.00,2285.00,Bitcoin,Not Returned,,No,9,19.23
INV1128,28/11/2024 21:02,CUST2219,Lisa Haley,UK,P1203,Where Central,Electronics,3,262.36,787.08,Bitcoin,Not Returned,2,No,6,4.64
INV1129,2/06/2023 23:11,CUST2199,David Oliver,India,P1338,Surface Accept,Automotive,4,267.81,1071.24,PayPal,Not Returned,,No,2,9.50
INV1130,19/08/2024 0:55,CUST2298,Kenneth Brown,United States,P1078,Choose Cause,Garden,4,408.93,1635.72,Bank Transfer,Not Returned,2,Yes,2,2.18
INV1131,23/08/2024 2:43,CUST1882,Laura Jones,New Zealand,P1229,Position During,Food,5,425.62,2128.10,Credit Card,Not Returned,,No,13,9.63
INV1132,16/08/2023 17:55,CUST1597,Susan Davis,France,P1211,By Create,Toys,4,279.43,1117.72,PayPal,Not Returned,1,No,2,3.47
INV1133,2/03/2024 13:45,CUST1616,Bryan Parker,U.S.,P1137,Pass Western,Beauty,4,467.68,1870.72,Bitcoin,Not Returned,,No,4,23.61
INV1134,28/07/2024 5:40,CUST2476,Mary Ryan,Canada,P1320,Government Others,Garden,4,125.71,502.84,PayPal,Not Returned,3,No,13,15.50
INV1135,9/08/2023 15:41,CUST1674,Zachary Mendoza,India,P1225,Crime Agree,Books,3,338.03,1014.09,Bank Transfer,Not Returned,5,Yes,7,7.85
INV1136,12/05/2024 6:04,CUST1815,Anna Estes,Germany,P1495,Treatment Nearly,Garden,3,472.89,1418.67,PayPal,Not Returned,2,No,5,2.85
INV1137,1/05/2024 18:11,CUST2154,April Davis,U.S.,P1102,Happen Cut,Beauty,5,214.67,1073.35,Credit Card,Not Returned,3,Yes,7,19.94
INV1138,11/04/2024 4:56,CUST2418,Erika Alvarez,U.S.,P1035,First Best,Automotive,4,113.71,454.84,PayPal,Not Returned,1,No,12,9.42
INV1139,2/01/2025 17:27,CUST1919,Samantha Terry,France,P1306,Seek Style,Beauty,4,39.13,156.52,Bitcoin,Not Returned,2,Yes,1,19.22
INV1140,12/07/2023 0:47,CUST2346,Penny Gomez MD,India,P1340,Minute Economy,Automotive,3,168.74,506.22,Bitcoin,Not Returned,2,No,1,0.26
INV1141,12/03/2024 9:14,CUST1529,Angel May,France,P1113,Decision Reveal,Automotive,5,418.83,2094.15,PayPal,Not Returned,3,No,12,16.99
INV1142,4/02/2025 21:05,CUST2414,Christopher Pena,USA,P1256,Employee Late,Home,2,354.68,709.36,Bank Transfer,Not Returned,,Yes,13,23.52
INV1143,31/05/2024 11:44,CUST1290,David Smith,Canada,P1178,Voice Teacher,Home,3,463.25,1389.75,Bank Transfer,Not Returned,3,No,5,1.68
INV1144,15/03/2024 12:37,CUST1091,Brian Rodriguez,Australia,P1414,Answer Goal,Garden,1,147.67,147.67,PayPal,Not Returned,5,Yes,8,4.36
INV1145,4/09/2023 7:21,CUST1327,Trevor Johnson,Germany,P1169,Size Close,Home,5,275.07,1375.35,Bitcoin,Not Returned,1,No,6,0.73
INV1146,3/09/2024 10:32,CUST2257,Manuel Mccullough,New Zealand,P1452,Successful Whom,Automotive,2,191.72,383.44,PayPal,Not Returned,5,Yes,9,2.54
INV1147,21/11/2024 5:24,CUST2099,Steven Howard,Germany,P1095,Away Exactly,Clothing,3,259.51,778.53,Bitcoin,Not Returned,5,No,9,9.72
INV1148,9/07/2023 5:58,CUST1803,Rodney Williams,Germany,P1300,Watch Seem,Books,1,42.62,42.62,Bank Transfer,Not Returned,4,Yes,10,3.35
INV1149,25/04/2024 21:13,CUST1241,Matthew Moon,Australia,P1122,Field Address,Garden,3,81.62,244.86,Bitcoin,Not Returned,1,No,6,4.64
INV1150,3/10/2024 15:40,CUST2301,Mary Campbell,Germany,P1275,Open Impact,Electronics,2,46.55,93.10,PayPal,Not Returned,3,Yes,13,8.98
INV1151,12/10/2024 18:32,CUST1019,Carla Gray,New Zealand,P1248,Remain Degree,Toys,2,384.08,768.16,Bitcoin,Not Returned,3,No,11,21.00
INV1152,26/01/2024 17:52,CUST2000,Matthew Davis MD,Canada,P1085,Leader Staff,Books,1,357.91,357.91,Bank Transfer,Not Returned,2,Yes,12,11.43
INV1153,18/06/2024 20:49,CUST2014,William Graham,United States,P1281,Staff Their,Sports,5,142.74,713.70,Bank Transfer,Not Returned,,No,8,5.46
INV1154,20/05/2024 22:33,CUST1870,Kimberly Myers,USA,P1052,Will Spend,Clothing,2,80.66,161.32,Bank Transfer,Not Returned,,No,13,24.85
INV1155,11/01/2025 3:06,CUST1485,Jonathan Glass MD,India,P1107,Hard Practice,Clothing,5,128.08,640.40,PayPal,Not Returned,1,Yes,12,1.48
INV1156,6/11/2023 23:28,CUST1718,Kathryn Mccann,U.S.,P1272,Else Natural,Garden,3,460.17,1380.51,Bank Transfer,Not Returned,2,Yes,2,24.07
INV1157,8/02/2025 21:34,CUST1842,Virginia Henderson,U.S.,P1470,Economy Hot,Automotive,1,193.10,193.10,PayPal,Not Returned,5,No,13,6.19
INV1158,4/07/2024 8:10,CUST2384,Jacqueline Dickerson,UK,P1201,Risk Season,Food,4,99.09,396.36,Bitcoin,Not Returned,5,Yes,6,12.89
INV1159,26/10/2024 3:43,CUST1569,Michael Johnson,Germany,P1355,Check Too,Home,3,320.75,962.25,Credit Card,Not Returned,5,Yes,11,24.30
INV1160,29/09/2024 3:43,CUST2300,Kristy Smith,France,P1340,Minute Economy,Automotive,3,168.74,506.22,Bitcoin,Not Returned,3,No,5,20.71
INV1161,3/02/2024 16:37,CUST1691,Pamela Gutierrez,Germany,P1280,Usually Fly,Beauty,5,381.81,1909.05,Credit Card,Returned,5,No,,3.11
INV1162,30/12/2024 22:08,CUST1323,,New Zealand,P1225,Crime Agree,Books,4,338.03,1352.12,PayPal,Not Returned,2,Yes,13,23.32
INV1163,19/07/2024 5:33,CUST1561,Kim Erickson,Australia,P1047,Quality First,Food,3,217.07,651.21,PayPal,Not Returned,5,No,11,17.49
INV1164,10/10/2023 21:56,CUST1479,Kaylee Hays,USA,P1219,World Term,Beauty,1,235.17,235.17,Credit Card,Not Returned,1,No,,0.20
INV1165,6/08/2023 11:41,CUST1703,Michael Abbott,New Zealand,P1418,Push Defense,Beauty,1,62.38,62.38,Bitcoin,Not Returned,3,Yes,11,20.15
INV1166,20/07/2023 11:20,CUST1211,Denise Mccann,U.S.,P1160,Night Behavior,Toys,3,453.14,1359.42,PayPal,Not Returned,5,Yes,1,13.26
INV1167,9/10/2023 17:15,CUST1017,Derek Zuniga,Canada,P1312,Bed Need,Sports,2,92.19,184.38,PayPal,Not Returned,4,No,13,5.43
INV1168,24/11/2024 14:17,CUST1205,David Martinez,New Zealand,P1071,Report Sign,Automotive,1,459.65,459.65,Bitcoin,Not Returned,1,Yes,4,16.12
